TimeGenerated	LogicalServerName_s	database_id	file_id	num_of_reads	num_of_writes	num_of_bytes_read	num_of_bytes_written	io_stall_read_ms	io_stall_write_ms	io_stall_ms	reads_per_second	writes_per_second	database_name	name	filename
2024-09-06 13:55:00.287	SQLN	1	1	316	4	3325952	32768	93	1	94	0.009	0.000	master	master	I:\SQL SERVER\MSSQL13.MSSQLSERVER\MSSQL\DATA\master.mdf
2024-09-06 13:55:00.287	SQLN	1	2	15	55	538112	74752	5	17	22	0.000	0.002	master	mastlog	I:\SQL SERVER\MSSQL13.MSSQLSERVER\MSSQL\DATA\mastlog.ldf
2024-09-06 13:55:00.287	SQLN	2	1	35724	35113	2293760000	2293243904	56591	2449880	2506471	1.073	1.054	tempdb	tempdev	T:\TEMPDB_DATA\tempdb.mdf
2024-09-06 13:55:00.287	SQLN	2	2	11	28269	1024000	1728461824	5	63101	63106	0.000	0.849	tempdb	templog	T:\TEMPDB_DATA\templog.ldf
2024-09-06 13:55:00.287	SQLN	2	3	12992	12799	835444736	835960832	20394	896951	917345	0.390	0.384	tempdb	temp2	T:\TEMPDB_DATA\temp_mssql_2.ndf
2024-09-06 13:55:00.287	SQLN	2	4	13081	12906	842080256	842694656	20032	831239	851271	0.393	0.388	tempdb	temp3	T:\TEMPDB_DATA\temp_mssql_3.ndf
2024-09-06 13:55:00.287	SQLN	2	5	13260	13061	852631552	853196800	21311	897428	918739	0.398	0.392	tempdb	temp4	T:\TEMPDB_DATA\temp_mssql_4.ndf
2024-09-06 13:55:00.287	SQLN	2	6	13070	12882	840851456	841367552	20361	894426	914787	0.392	0.387	tempdb	temp5	T:\TEMPDB_DATA\temp_mssql_5.ndf
2024-09-06 13:55:00.287	SQLN	2	7	12977	12777	834215936	834543616	19099	825882	844981	0.390	0.384	tempdb	temp6	T:\TEMPDB_DATA\temp_mssql_6.ndf
2024-09-06 13:55:00.287	SQLN	2	8	13296	13102	854761472	855416832	19448	827536	846984	0.399	0.393	tempdb	temp7	T:\TEMPDB_DATA\temp_mssql_7.ndf
2024-09-06 13:55:00.287	SQLN	2	9	13545	13363	872751104	873250816	20251	894658	914909	0.407	0.401	tempdb	temp8	T:\TEMPDB_DATA\temp_mssql_8.ndf
2024-09-06 13:55:00.287	SQLN	3	1	44	3	17006592	24576	148	0	148	0.001	0.000	model	modeldev	I:\SQL SERVER\MSSQL13.MSSQLSERVER\MSSQL\DATA\model.mdf
2024-09-06 13:55:00.287	SQLN	3	2	9	13	1015808	35328	14	3	17	0.000	0.000	model	modellog	I:\SQL SERVER\MSSQL13.MSSQLSERVER\MSSQL\DATA\modellog.ldf
2024-09-06 13:55:00.287	SQLN	4	1	20279	1463	402448384	40214528	42705	5887	48592	0.609	0.044	msdb	MSDBData	I:\SQL SERVER\MSSQL13.MSSQLSERVER\MSSQL\DATA\MSDBData.mdf
2024-09-06 13:55:00.287	SQLN	4	2	215	24154	5135872	69575168	243	8917	9160	0.006	0.725	msdb	MSDBLog	I:\SQL SERVER\MSSQL13.MSSQLSERVER\MSSQL\DATA\MSDBLog.ldf
2024-09-06 13:55:00.287	SQLN	5	1	1755614	82402	203347017728	5107908608	1696273	948542	2644815	52.720	2.474	TTQM	TESTDatos	M:\MDF_DATA\TTQM.mdf
2024-09-06 13:55:00.287	SQLN	5	2	695	298977	602291712	10111207936	2682	269478	272160	0.021	8.978	TTQM	QQAT11XX	L:\LDF_DATA\TTQM_1.ldf
