TimeGenerated	LogicalServerName_s	wait_type_s	delta_wait_time_ms_d	delta_waiting_tasks_count_d
2024-09-06 13:55:00.287	SQLN	SQLTRACE_INCREMENTAL_FLUSH_SLEEP	26957540	6719
2024-09-06 13:55:00.287	SQLN	SLEEP_BPOOL_FLUSH	14747	5722
2024-09-06 13:55:00.287	SQLN	BROKER_TASK_STOP	12456093	2714
2024-09-06 13:55:00.287	SQLN	FT_IFTS_SCHEDULER_IDLE_WAIT	26704068	446
2024-09-06 13:55:00.287	SQLN	LATCH_SH	169	3791
2024-09-06 13:55:00.287	SQLN	XE_TIMER_EVENT	26955744	9662
2024-09-06 13:55:00.287	SQLN	IO_COMPLETION	11695	32463
2024-09-06 13:55:00.287	SQLN	LOGBUFFER	2594	67
2024-09-06 13:55:00.287	SQLN	PAGEIOLATCH_SH	707960	1937459
2024-09-06 13:55:00.287	SQLN	LCK_M_IX	12346	39
2024-09-06 13:55:00.287	SQLN	BACKUPBUFFER	364404	367791
2024-09-06 13:55:00.287	SQLN	LCK_M_IS	106268	36
2024-09-06 13:55:00.287	SQLN	EXECSYNC	1870142	3152
2024-09-06 13:55:00.287	SQLN	LOGMGR_QUEUE	53874807	973879
2024-09-06 13:55:00.287	SQLN	DEADLOCK_ENUM_MUTEX	4	4
2024-09-06 13:55:00.287	SQLN	CXPACKET	17331670	12731463
2024-09-06 13:55:00.287	SQLN	CXCONSUMER	14942084	8485647
2024-09-06 13:55:00.287	SQLN	PARALLEL_REDO_WORKER_SYNC	11	24
2024-09-06 13:55:00.287	SQLN	CLR_AUTO_EVENT	40175637	10
2024-09-06 13:55:00.287	SQLN	PAGELATCH_EX	955090	7929426
2024-09-06 13:55:00.287	SQLN	CXROWSET_SYNC	722	7891
2024-09-06 13:55:00.287	SQLN	PAGEIOLATCH_UP	207	276
2024-09-06 13:55:00.287	SQLN	SP_SERVER_DIAGNOSTICS_SLEEP	26700604	1211
2024-09-06 13:55:00.287	SQLN	LCK_M_SCH_M	19581	60812
2024-09-06 13:55:00.287	SQLN	SLEEP_TASK	13875895	4876960
2024-09-06 13:55:00.287	SQLN	REQUEST_FOR_DEADLOCK_SEARCH	26956166	5385
2024-09-06 13:55:00.287	SQLN	SESSION_WAIT_STATS_CHILDREN	19927	32577
2024-09-06 13:55:00.287	SQLN	BACKUPTHREAD	157	144
2024-09-06 13:55:00.287	SQLN	LCK_M_U	7330	155
2024-09-06 13:55:00.287	SQLN	LCK_M_S	1095671	622
2024-09-06 13:55:00.287	SQLN	LCK_M_X	32077	246
2024-09-06 13:55:00.287	SQLN	SLEEP_DBSTARTUP	1050	11
2024-09-06 13:55:00.287	SQLN	CMEMTHREAD	871	13938
2024-09-06 13:55:00.287	SQLN	BROKER_TO_FLUSH	13448656	13049
2024-09-06 13:55:00.287	SQLN	DISPATCHER_QUEUE_SEMAPHORE	269788	59906
2024-09-06 13:55:00.287	SQLN	PAGEIOLATCH_EX	85382	48325
2024-09-06 13:55:00.287	SQLN	DIRTY_PAGE_POLL	26960774	246509
2024-09-06 13:55:00.287	SQLN	BACKUPIO	182131	111161
2024-09-06 13:55:00.287	SQLN	LATCH_EX	127124	145748
2024-09-06 13:55:00.287	SQLN	PAGELATCH_UP	186	1303
2024-09-06 13:55:00.287	SQLN	PARALLEL_REDO_WORKER_WAIT_WORK	19523	1978
2024-09-06 13:55:00.287	SQLN	BROKER_RECEIVE_WAITFOR	728087	120
2024-09-06 13:55:00.287	SQLN	WRITELOG	90705	167946
